params,score
"[2.69066554e+00 1.65595279e+00 1.57485369e-01 2.87148762e+00
 5.16345896e+00 4.99823416e+02]",677.1755784751889
"[2.89655990e+00 1.98733118e+00 6.57130137e-02 2.49174440e+00
 5.70340826e+00 5.00147601e+02]",196250.07850469544
"[2.72418160e+00 1.54827014e+00 3.83352133e-01 2.95020952e+00
 5.75559983e+00 5.00260879e+02]",442.237680299227
"[2.69339892e+00 1.54028891e+00 1.00675328e-01 2.70750366e+00
 5.43430956e+00 5.00106578e+02]",1522.1934251019086
"[2.81200205e+00 1.53857213e+00 6.72144416e-02 2.83794815e+00
 5.14468844e+00 5.00227628e+02]",77285.14010204747
"[2.71144425e+00 1.68624237e+00 1.37278371e-01 2.86626666e+00
 5.64450324e+00 5.00281806e+02]",13226.104523038528
"[2.65742817e+00 1.94151044e+00 5.46157534e-02 2.76555510e+00
 5.55494802e+00 4.99842699e+02]",21610.085308425263
"[2.87279395e+00 1.53724654e+00 2.35038833e-01 2.90950441e+00
 5.39025578e+00 5.00085985e+02]",104977.14528707342
"[2.73157864e+00 1.53697612e+00 2.80930144e-01 3.14699036e+00
 5.55461332e+00 5.00231538e+02]",22802.223932676185
"[2.51539824e+00 1.65418469e+00 2.54297688e-01 2.71764155e+00
 5.88008213e+00 5.00232301e+02]",685585.3430641126
"[2.72054838e+00 1.55378817e+00 2.16246610e-01 2.91716706e+00
 5.59826765e+00 5.00401873e+02]",25601.182609602158
"[2.63140058e+00 1.71371526e+00 2.52695423e-01 2.91792833e+00
 5.61637158e+00 5.00429081e+02]",138385.268282665
"[2.66943685e+00 1.63485316e+00 1.06474014e-01 2.65910092e+00
 5.34123124e+00 4.99879005e+02]",184042.23793934833
"[2.62763075e+00 1.59291322e+00 5.72546188e-02 2.85905525e+00
 5.57707162e+00 5.00060909e+02]",116965.1854250584
"[2.72107046e+00 1.69584894e+00 8.29251901e-02 2.90197095e+00
 5.68205011e+00 5.00114013e+02]",8650.096083845414
"[2.70668486e+00 1.50617627e+00 1.92975680e-01 3.08781479e+00
 5.53958431e+00 5.00182653e+02]",730.2042836479982
"[2.66501150e+00 1.40915469e+00 1.93267776e-01 2.85022643e+00
 5.59443209e+00 5.00355589e+02]",24965.170415727513
"[2.73083053e+00 1.81564579e+00 5.81315779e-02 3.18076610e+00
 5.75463425e+00 5.00228234e+02]",152882.15437005245
"[2.69399404e+00 1.45331346e+00 1.71982163e-01 2.97924835e+00
 5.55425476e+00 4.99973196e+02]",226.1992071710595
"[2.61432691e+00 1.50125533e+00 8.14193063e-02 3.20344638e+00
 5.56658893e+00 5.00259290e+02]",85265.20901373714
"[2.81256022e+00 1.45192494e+00 3.81892127e-01 3.02399133e+00
 5.32847035e+00 5.00137175e+02]",56645.14843225291
"[2.76818146e+00 1.57441246e+00 1.73237779e-01 3.25762705e+00
 5.52186234e+00 5.00266002e+02]",17425.163121694863
"[2.68743974e+00 1.67512692e+00 2.60973871e-01 3.19443539e+00
 5.68666057e+00 5.00160624e+02]",1025.1763760893105
"[2.58847938e+00 1.49294422e+00 1.98468706e-01 3.22738137e+00
 5.72324752e+00 5.00045084e+02]",97345.24895490926
"[2.81820631e+00 1.58850342e+00 1.84728119e-01 2.87306041e+00
 5.58812161e+00 5.00147751e+02]",9410.175709451309
"[2.83440246e+00 1.55323321e+00 2.44548302e-01 2.94667376e+00
 5.74679248e+00 5.00029484e+02]",577.2109581772557
"[2.70699514e+00 1.48542047e+00 2.30888123e-01 3.06070327e+00
 5.43672744e+00 4.99934805e+02]",71290.22776658696
"[2.63547276e+00 1.69960150e+00 9.26483600e-02 3.04604415e+00
 5.70228770e+00 5.00196578e+02]",20450.189157843397
"[2.65350975e+00 1.54143856e+00 1.68404935e-01 2.99937137e+00
 5.56754447e+00 4.99868857e+02]",55226.23256318548
"[2.58332968e+00 1.43529440e+00 1.52223536e-01 3.16914511e+00
 5.54544800e+00 5.00178231e+02]",213445.26778488912
"[2.90803986e+00 1.42071406e+00 9.18134662e-02 3.12182846e+00
 5.48093809e+00 5.00073348e+02]",70757.13213733544
"[2.77448711e+00 1.55090742e+00 9.66019500e-02 3.01626283e+00
 5.51386575e+00 5.00313170e+02]",2305.161257026854
"[2.80338601e+00 1.45176133e+00 3.27180347e-01 3.26718084e+00
 5.52920509e+00 4.99884730e+02]",28225.244076375242
"[2.55543358e+00 1.68509080e+00 1.16166545e-01 3.06954262e+00
 5.78736324e+00 5.00138991e+02]",328330.2524370305
"[2.80455990e+00 1.59980683e+00 1.43171671e-01 2.98934398e+00
 5.64825906e+00 5.00208122e+02]",132497.13162889195
"[2.71022756e+00 1.65789612e+00 9.09571530e-02 3.02838635e+00
 5.49529057e+00 5.00096962e+02]",1297.1731410503585
"[2.83958999e+00 1.57083459e+00 4.15309896e-01 3.14365750e+00
 5.69702334e+00 5.00188129e+02]",11450.188998718264
"[2.89085291e+00 1.53512729e+00 1.71790372e-01 3.06174366e+00
 5.70300694e+00 5.00031034e+02]",74530.157228306
"[2.87656628e+00 1.68915592e+00 7.34629862e-02 2.99068665e+00
 5.58162218e+00 5.00203855e+02]",68122.08817240021
"[2.87691112e+00 1.68639625e+00 6.13795152e-02 3.08428664e+00
 5.71747756e+00 5.00028545e+02]",61505.0904619908
"[2.72325163e+00 1.58354705e+00 3.17033370e-01 3.09896919e+00
 5.72968479e+00 5.00010015e+02]",8101.18581838997
"[2.66437366e+00 1.65449484e+00 1.54310831e-01 3.09232406e+00
 5.70239827e+00 5.00181368e+02]",101125.22182335325
"[2.81456633e+00 1.73695004e+00 5.21373977e-02 2.86550654e+00
 5.61670038e+00 5.00347620e+02]",2305.0997369064553
"[2.78968884e+00 1.63005376e+00 7.27502451e-02 2.94543104e+00
 5.55349605e+00 5.00226665e+02]",7570.126090268827
"[2.69414146e+00 1.79670710e+00 1.76555111e-01 3.04584851e+00
 5.67335615e+00 5.00095857e+02]",47090.21545719291
"[2.77724218e+00 1.73546708e+00 1.26508994e-01 2.96769188e+00
 5.62050060e+00 5.00242176e+02]",12997.069089439783
"[2.61228134e+00 1.60678119e+00 1.82264349e-01 3.06238357e+00
 5.49011658e+00 5.00128750e+02]",50626.230129442265
"[2.88355406e+00 1.74499286e+00 8.21728878e-02 3.17705609e+00
 5.46716575e+00 4.99990026e+02]",63002.06378596283
"[2.86317690e+00 1.78348664e+00 1.19447898e-01 2.97660081e+00
 5.71948185e+00 4.99998613e+02]",215297.09800265238
"[2.76980925e+00 1.74155496e+00 2.04630288e-01 2.97669691e+00
 5.65122959e+00 5.00273612e+02]",94865.10771722063
"[2.72377145e+00 1.62466349e+00 3.03908758e-01 3.04813978e+00
 5.38943646e+00 5.00029946e+02]",21905.22434586607
"[2.77711937e+00 1.59479032e+00 1.64952995e-01 2.94207966e+00
 5.55430869e+00 5.00208538e+02]",69697.12550666773
"[2.78657341e+00 1.92850787e+00 5.99937538e-02 2.89223319e+00
 5.55117537e+00 5.00248083e+02]",91810.07198324235
"[2.80910926e+00 1.77538123e+00 1.20923921e-01 2.94962723e+00
 5.43465780e+00 5.00205567e+02]",75626.1028522642
"[2.80097697e+00 1.80523567e+00 1.62743020e-01 3.03238353e+00
 5.42875413e+00 5.00181721e+02]",23410.09333348145
"[2.79704814e+00 1.74893261e+00 1.49827103e-01 3.03970985e+00
 5.54911407e+00 5.00074405e+02]",63002.11170354548
"[2.73376761e+00 1.68890005e+00 7.25187008e-02 2.85854765e+00
 5.42176443e+00 4.99977098e+02]",197.16171602351875
"[2.84092780e+00 1.72125038e+00 7.25646984e-02 3.12145172e+00
 5.57952982e+00 5.00235853e+02]",97970.10126535731
"[2.79341511e+00 1.80911130e+00 5.26479987e-02 2.85933391e+00
 5.36153004e+00 5.00131448e+02]",962.0809412154384
"[2.77705895e+00 1.65723458e+00 6.50214943e-02 3.06436269e+00
 5.45459488e+00 5.00105695e+02]",15877.118890850026
"[2.75842001e+00 1.74051272e+00 5.98021754e-02 2.95448045e+00
 5.56134985e+00 5.00182262e+02]",1025.134509585145
"[2.80446572e+00 1.84316596e+00 5.00659737e-02 2.90560299e+00
 5.45306507e+00 5.00194610e+02]",126026.0940353246
"[2.69483091e+00 1.69863508e+00 5.51789637e-02 2.85646169e+00
 5.13676729e+00 4.99950224e+02]",4097.146410403521
"[2.86069374e+00 1.72851195e+00 8.40416729e-02 2.87557437e+00
 5.48733105e+00 5.00026190e+02]",85850.08870368174
"[2.84011039e+00 1.69901707e+00 1.14286589e-01 3.01868864e+00
 5.42060689e+00 5.00194788e+02]",5330.1168721831955
